opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess
A6,LDX,ZPG,2,3,ldx_zpg,LDX,yes
A7,NOP,IMP,1,1,smb_bzp,SMB,no
A8,TAY,IMP,1,2,tay_imp,TAY,yes
A9,LDA,IMM,2,2,lda_imm,LDA,yes
AA,TAX,IMP,1,2,tax_imp,TAX,yes
AB,NOP,IMP,1,1,nop_c_imp,NOP,yes
AC,LDY,ABS,3,4,ldy_aba,LDY,yes
AD,LDA,ABS,3,4,lda_aba,LDA,yes
AE,LDX,ABS,3,4,ldx_aba,LDX,yes
AF,NOP,IMP,1,1,bbs_zpb,BBS,no
B0,BCS,REL,2,2,bcs_rel,BCS,yes
B1,LDA,IND_Y,2,5,lda_s_idy,LDA,yes
B2,LDA,ZPG_IND,2,5,lda_zpi,LDA,yes
B3,NOP,IMP,1,1,nop_c_imp,NOP,yes
B4,LDY,ZPG_X,2,4,ldy_s_zpx,LDY,yes
B5,LDA,ZPG_X,2,4,lda_s_zpx,LDA,yes
B6,LDX,ZPG_Y,2,4,ldx_s_zpy,LDX,yes
B7,NOP,IMP,1,1,smb_bzp,SMB,no
B8,CLV,IMP,1,2,clv_imp,CLV,yes
B9,LDA,ABS_Y,3,4,lda_s_aby,LDA,yes
BA,TSX,IMP,1,2,tsx_imp,TSX,yes
BB,NOP,IMP,1,1,nop_c_imp,NOP,yes
BC,LDY,ABS_X,3,4,ldy_s_abx,LDY,yes
BD,LDA,ABS_X,3,4,lda_s_abx,LDA,yes
BE,LDX,ABS_Y,3,4,ldx_s_aby,LDX,yes
BF,NOP,IMP,1,1,bbs_zpb,BBS,no
C0,CPY,IMM,2,2,cpy_imm,CPY,yes
C1,CMP,IND_X,2,6,cmp_s_idx,CMP,yes
C2,NOP,IMP,2,2,nop_imm,NOP,yes
C3,NOP,IMP,1,1,nop_c_imp,NOP,yes
C4,CPY,ZPG,2,3,cpy_zpg,CPY,yes
C5,CMP,ZPG,2,3,cmp_zpg,CMP,yes
C6,DEC,ZPG,2,5,dec_s_zpg,DEC,yes
C7,NOP,IMP,1,1,smb_bzp,SMB,no
C8,INY,IMP,1,2,iny_imp,INY,yes
C9,CMP,IMM,2,2,cmp_imm,CMP,yes
CA,DEX,IMP,1,2,dex_imp,DEX,yes
CB,NOP,IMP,1,1,wai_imp,WAI,no
CC,CPY,ABS,3,4,cpy_aba,CPY,yes
CD,CMP,ABS,3,4,cmp_aba,CMP,yes
CE,DEC,ABS,3,6,dec_c_aba,DEC,yes
CF,NOP,IMP,1,1,bbs_zpb,BBS,no
D0,BNE,REL,2,2,bne_rel,BNE,yes
D1,CMP,IND_Y,2,5,cmp_s_idy,CMP,yes
D2,CMP,ZPG_IND,2,5,cmp_zpi,CMP,yes
D3,NOP,IMP,1,1,nop_c_imp,NOP,yes
D4,NOP,IMP,2,4,nop_s_zpx,NOP,yes
D5,CMP,ZPG_X,2,4,cmp_s_zpx,CMP,yes
D6,DEC,ZPG_X,2,6,dec_s_zpx,DEC,yes
D7,NOP,IMP,1,1,smb_bzp,SMB,no
D8,CLD,IMP,1,2,cld_imp,CLD,yes
D9,CMP,ABS_Y,3,4,cmp_s_aby,CMP,yes
DA,PHX,IMP,1,3,phx_imp,PHX,yes
DB,NOP,IMP,1,1,stp_imp,STP,no
DC,NOP,IMP,3,4,nop_s_abx,NOP,yes
DD,CMP,ABS_X,3,4,cmp_s_abx,CMP,yes
DE,DEC,ABS_X,3,6,dec_s_abx,DEC,yes
DF,NOP,IMP,1,1,bbs_zpb,BBS,no
E0,CPX,IMM,2,2,cpx_imm,CPX,yes
E1,SBC,IND_X,2,6,sbc_s_idx,SBC,yes
E2,NOP,IMP,2,2,nop_imm,NOP,yes
E3,NOP,IMP,1,1,nop_c_imp,NOP,yes
E4,CPX,ZPG,2,3,cpx_zpg,CPX,yes
E5,SBC,ZPG,2,3,sbc_c_zpg,SBC,yes
E6,INC,ZPG,2,5,inc_s_zpg,INC,yes
E7,NOP,IMP,1,1,smb_bzp,SMB,no
E8,INX,IMP,1,2,inx_imp,INX,yes
E9,SBC,IMM,2,2,sbc_c_imm,SBC,yes
EA,NOP,IMP,1,2,nop_imp,NOP,yes
EB,NOP,IMP,1,1,nop_c_imp,NOP,yes
EC,CPX,ABS,3,4,cpx_aba,CPX,yes
ED,SBC,ABS,3,4,sbc_c_aba,SBC,yes
EE,INC,ABS,3,6,inc_c_aba,INC,yes
EF,NOP,IMP,1,1,bbs_zpb,BBS,no
F0,BEQ,REL,2,2,beq_rel,BEQ,yes
F1,SBC,IND_Y,2,5,sbc_s_idy,SBC,yes
F2,SBC,ZPG_IND,2,5,sbc_c_zpi,SBC,yes
F3,NOP,IMP,1,1,nop_c_imp,NOP,yes
F4,NOP,IMP,2,4,nop_s_zpx,NOP,yes
F5,SBC,ZPG_X,2,4,sbc_s_zpx,SBC,yes
F6,INC,ZPG_X,2,6,inc_s_zpx,INC,yes
F7,NOP,IMP,1,1,smb_bzp,SMB,no
F8,SED,IMP,1,2,sed_imp,SED,yes
F9,SBC,ABS_Y,3,4,sbc_s_aby,SBC,yes
FA,PLX,IMP,1,4,plx_s_imp,PLX,yes
FB,NOP,IMP,1,1,nop_c_imp,NOP,yes
FC,NOP,IMP,3,4,nop_s_abx,NOP,yes
FD,SBC,ABS_X,3,4,sbc_s_abx,SBC,yes
FE,INC,ABS_X,3,6,inc_s_abx,INC,yes
FF,NOP,IMP,1,1,bbs_zpb,BBS,no
