opcode_hex,mnemonic,address_mode,bytes,base_cycles,microcode_source,associated_tests,status
22,NOP,IMP,2,2,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
23,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
24,BIT,ZPG,2,3,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
25,AND,ZPG,2,3,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
26,ROL,ZPG,2,5,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
27,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
28,PLP,IMP,1,4,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
29,AND,IMM,2,2,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
2A,ROL,ACC,1,2,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
2B,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
