opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess,spec_mnemonic_ref,spec_mode_ref,spec_cycles_ref,cycle_compare,overall_compare
31,AND,IND_Y,2,5,and_s_idy,AND,yes,AND,IND_Y,3/6,match,match
32,AND,ZPG_IND,2,5,and_zpi,AND,yes,AND,ZPG_IND,5,match,match
33,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
34,BIT,ZPG_X,2,4,bit_s_zpx,BIT,yes,BIT,ZPG_X,4,match,match
35,AND,ZPG_X,2,4,and_s_zpx,AND,yes,AND,ZPG_X,4,match,match
36,ROL,ZPG_X,2,6,rol_s_zpx,ROL,yes,ROL,ZPG_X,6,match,match
37,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
38,SEC,IMP,1,2,sec_imp,SEC,yes,SEC,IMP,2,match,match
39,AND,ABS_Y,3,4,and_s_aby,AND,yes,AND,ABS_Y,2/5,match,match
3A,DEA,ACC,1,2,dec_acc,DEC,no,DEC,ACC,2,match,mismatch
3B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
3C,BIT,ABS_X,3,4,bit_s_abx,BIT,yes,BIT,ABS_X,2/5,match,match
3D,AND,ABS_X,3,4,and_s_abx,AND,yes,AND,ABS_X,2/5,match,match
3E,ROL,ABS_X,3,6,rol_s_abx,ROL,yes,ROL,ABS_X,7,mismatch,mismatch
3F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
40,RTI,IMP,1,6,rti_s_imp,RTI,yes,RTI,IMP,6,match,match
41,EOR,IND_X,2,6,eor_s_idx,EOR,yes,EOR,IND_X,6,match,match
42,NOP,IMP,2,2,nop_imm,NOP,yes,NOP,IMM,2,match,match
43,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
44,NOP,IMP,2,3,nop_zpg,NOP,yes,NOP,ZPG,3,match,match
